id,batch_id,job_configuration_id,moodys_workflow_id,status,skipped,parent_job_id,created_ts,submitted_ts,completed_ts
1,101,1,MW-PF-2025001,FINISHED,FALSE,NULL,2025-10-14 00:02:00,2025-10-14 01:00:00,2025-10-14 08:00:00
2,101,2,MW-PF-2025002,FINISHED,FALSE,NULL,2025-10-14 00:04:00,2025-10-14 01:00:00,2025-10-14 08:15:00
3,101,3,MW-PF-2025003,FINISHED,FALSE,NULL,2025-10-14 00:06:00,2025-10-14 01:00:00,2025-10-14 08:30:00
4,102,4,MW-AN-2025001,FINISHED,FALSE,NULL,2025-10-15 00:02:00,2025-10-15 01:00:00,2025-10-15 14:00:00
5,102,5,MW-AN-2025002,RUNNING,FALSE,NULL,2025-10-15 00:04:00,2025-10-15 01:00:00,NULL
6,102,6,MW-AN-2025003,PENDING,FALSE,NULL,2025-10-15 00:06:00,2025-10-15 14:00:00,NULL
7,102,7,MW-AN-2025004,QUEUED,FALSE,NULL,2025-10-15 00:08:00,2025-10-15 14:00:00,NULL
8,102,8,MW-AN-2025005,SUBMITTED,FALSE,NULL,2025-10-15 00:10:00,2025-10-15 14:00:00,NULL
9,103,9,MW-MRI-2025001,FINISHED,FALSE,NULL,2025-10-16 00:02:00,2025-10-16 01:00:00,2025-10-16 03:00:00
10,103,10,MW-MRI-2025002,FAILED,FALSE,NULL,2025-10-16 00:04:00,2025-10-16 01:00:00,2025-10-16 03:30:00
11,103,11,MW-MRI-2025003,FINISHED,FALSE,NULL,2025-10-16 00:06:00,2025-10-16 01:00:00,2025-10-16 03:15:00
12,103,12,MW-MRI-2025004,RUNNING,FALSE,NULL,2025-10-16 00:08:00,2025-10-16 03:00:00,NULL
13,104,13,MW-RT-2025001,FAILED,TRUE,NULL,2025-10-17 00:02:00,2025-10-17 01:00:00,2025-10-17 02:00:00
14,104,14,MW-RT-2025002,RUNNING,FALSE,13,2025-10-17 08:00:00,2025-10-17 09:00:00,NULL
15,105,15,MW-EDM-2025001,FINISHED,FALSE,NULL,2025-10-18 00:02:00,2025-10-18 01:00:00,2025-10-18 06:00:00
16,105,16,MW-EDM-2025002,CANCELLED,FALSE,NULL,2025-10-18 00:04:00,2025-10-18 01:00:00,2025-10-18 02:00:00
17,105,17,MW-EDM-2025003,CANCELLED,FALSE,NULL,2025-10-18 00:06:00,2025-10-18 01:00:00,2025-10-18 02:00:00
18,106,18,MW-GRP-2025001,ERROR,FALSE,NULL,2025-10-18 00:02:00,NULL,NULL
19,106,19,MW-GRP-2025002,ERROR,FALSE,NULL,2025-10-18 00:04:00,NULL,NULL
20,106,20,NULL,INITIATED,FALSE,NULL,2025-10-18 00:06:00,NULL,NULL
21,107,21,MW-RDM-2025001,FINISHED,FALSE,NULL,2025-10-19 00:02:00,2025-10-19 01:00:00,2025-10-19 04:00:00
22,107,22,NULL,INITIATED,TRUE,NULL,2025-10-19 00:04:00,NULL,NULL
23,107,23,MW-RDM-2025003,RUNNING,FALSE,NULL,2025-10-19 00:06:00,2025-10-19 01:00:00,NULL
24,108,24,NULL,INITIATED,FALSE,NULL,2025-10-19 00:02:00,NULL,NULL
25,108,25,NULL,INITIATED,FALSE,NULL,2025-10-19 00:04:00,NULL,NULL
26,108,26,NULL,INITIATED,FALSE,NULL,2025-10-19 00:06:00,NULL,NULL
27,108,27,NULL,INITIATED,FALSE,NULL,2025-10-19 00:08:00,NULL,NULL
