ACCNTNUM,ACCNTNAME,ACCGRPNAME,UWRITRNAME,PRODID,BRANCHNAME,PRODNAME,CEDANTID,CEDANTNAME,POLICYNUM,LOBNAME,INCEPTDATE,EXPIREDATE,UNDCOVAMT,UNDCOVCUR,PARTOF,PARTOFCUR,POLICYTYPE,POLICYSTRUCTURE,MINDEDAMT,MINDEDCUR,MAXDEDAMT,MAXDEDCUR,BLANDEDAMT,BLANDEDCUR,BLANLIMAMT,BLANLIMCUR,BLANPREAMT,BLANPRECUR,COMBINEDLIM,COMBINEDLCUR,COMBINEDDED,COMBINEDDCUR,COMBINEDPREM,COMBINEDPCUR,COVBASE,LIMITGU,USERDEF1,USERDEF2,USERDEF3,USERDEF4,USERTXT1,USERTXT2,POLICYUSERTXT1,POLICYUSERTXT2,POLICYUSERTXT3,POLICYUSERTXT4
MLR 8036573_24_1,Lender Placed Hazard,Lender Placed Hazard,,,MLR 8036573 09,,ASST,ASST,MLR 8036573_24_1,xScotia xLending,2024-12-01,2025-12-01,0,USD,176013,USD,2,1,0,USD,0,USD,0,USD,176013,USD,2539,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,LP,Lender Placed,LEND,1DE5,CHO,ASIC,ASIC
MLR 9605139_24_1,Lender Placed Hazard,Lender Placed Hazard,,,MLR 9605139 06,,ASST,ASST,MLR 9605139_24_1,xScotia xLending,2025-03-01,2026-03-01,0,USD,143766,USD,2,1,0,USD,0,USD,0,USD,143766,USD,2278,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,LP,Lender Placed,LEND,1DE5,CHO,ASIC,ASIC
2MR 2474830_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2MR 2474830 01,,ASST,ASST,2MR 2474830_24_1,xScotia xLending,2024-11-15,2025-11-15,0,USD,463347,USD,2,1,0,USD,0,USD,0,USD,463347,USD,5812,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,LP,Lender Placed,LEND,1DE5,CHO,ASIC,ASIC
MLR 6860581_24_1,Lender Placed Hazard,Lender Placed Hazard,,,MLR 6860581 11,,ASST,ASST,MLR 6860581_24_1,xScotia xLending,2024-12-28,2025-12-28,0,USD,142837,USD,2,1,0,USD,0,USD,0,USD,142837,USD,2270,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,LP,Lender Placed,LEND,01J0,CHO,ASIC,ASIC
MLR 7180318_24_1,Lender Placed Hazard,Lender Placed Hazard,,,MLR 7180318 10,,ASST,ASST,MLR 7180318_24_1,xScotia xLending,2024-07-03,2025-07-03,0,USD,28930,USD,2,1,0,USD,0,USD,0,USD,28930,USD,1106,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,LP,Lender Placed,LEND,1DE5,CHO,ASIC,ASIC
2MR 3346067_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2MR 3346067 00,,ASST,ASST,2MR 3346067_24_1,xScotia xLending,2024-12-01,2025-12-01,0,USD,724900,USD,2,1,0,USD,0,USD,0,USD,724900,USD,9487,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,LP,Lender Placed,LEND,1DE5,CHO,ASIC,ASIC
2CU 3289492_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2CU 3289492 00,,ASST,ASST,2CU 3289492_24_1,xScotia xLending,2024-11-21,2025-11-21,0,USD,170500,USD,2,1,0,USD,0,USD,0,USD,170500,USD,1996,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,LP,Lender Placed,LEND,1DE6,CCO,ASIC,ASIC
2MR 3283107_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2MR 3283107 00,,ASST,ASST,2MR 3283107_24_1,xScotia xLending,2024-11-02,2025-11-02,0,USD,453754,USD,2,1,0,USD,0,USD,0,USD,453754,USD,5678,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,LP,Lender Placed,LEND,1DE5,CHO,ASIC,ASIC
2MR 3283712_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2MR 3283712 00,,ASST,ASST,2MR 3283712_24_1,xScotia xLending,2024-11-01,2025-11-01,0,USD,699573,USD,2,1,0,USD,0,USD,0,USD,699573,USD,9132,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,LP,Lender Placed,LEND,1DE5,CHO,ASIC,ASIC
2MR 3110917_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2MR 3110917 00,,ASST,ASST,2MR 3110917_24_1,xScotia xLending,2024-09-13,2025-09-13,0,USD,225500,USD,2,1,0,USD,0,USD,0,USD,225500,USD,2926,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,LP,Lender Placed,LEND,0NF2,CHO,ASIC,ASIC
